epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
165,2533.78,1.22424,0.59694,0.85974,0.97252,0.93769,0.96592,0.54155,1.55205,0.66035,0.87871,0.0001882,0.0001882,0.0001882
166,2549.06,1.23249,0.58349,0.8635,0.97536,0.95311,0.97353,0.54707,1.54815,0.66468,0.8769,0.00018325,0.00018325,0.00018325
167,2564.71,1.21174,0.58424,0.85997,0.96487,0.95193,0.96906,0.53277,1.56532,0.65955,0.87927,0.0001783,0.0001783,0.0001783
168,2580.1,1.21132,0.58277,0.85406,0.9676,0.95252,0.97473,0.54231,1.5378,0.65256,0.87659,0.00017335,0.00017335,0.00017335
169,2595.61,1.20327,0.58309,0.85816,0.96674,0.95055,0.96873,0.54631,1.54457,0.64659,0.87999,0.0001684,0.0001684,0.0001684
170,2610.93,1.20875,0.58933,0.85056,0.96538,0.95274,0.97042,0.54401,1.54751,0.65665,0.8784,0.00016345,0.00016345,0.00016345
171,2626.5,1.18954,0.57346,0.85344,0.96337,0.95586,0.9739,0.5483,1.54023,0.65347,0.87867,0.0001585,0.0001585,0.0001585
172,2641.92,1.18467,0.56996,0.85575,0.97449,0.95826,0.97852,0.54787,1.5519,0.64868,0.87971,0.00015355,0.00015355,0.00015355
173,2657.45,1.16406,0.56889,0.85506,0.97628,0.95292,0.9791,0.54856,1.5493,0.64293,0.87845,0.0001486,0.0001486,0.0001486
174,2672.89,1.17572,0.57204,0.85877,0.97098,0.95427,0.97701,0.5429,1.55745,0.65896,0.87943,0.00014365,0.00014365,0.00014365
175,2688.32,1.16707,0.5631,0.85245,0.96249,0.96855,0.97596,0.54276,1.54695,0.65078,0.87944,0.0001387,0.0001387,0.0001387
176,2703.97,1.17302,0.57713,0.84725,0.95396,0.96761,0.97536,0.54776,1.54193,0.65135,0.87956,0.00013375,0.00013375,0.00013375
177,2719.41,1.17908,0.56774,0.85448,0.95922,0.96091,0.97199,0.55031,1.54888,0.64702,0.87871,0.0001288,0.0001288,0.0001288
178,2734.76,1.14868,0.55679,0.84916,0.95916,0.96804,0.97417,0.5463,1.56361,0.64252,0.88052,0.00012385,0.00012385,0.00012385
179,2750.06,1.15555,0.56221,0.84945,0.96975,0.94554,0.97272,0.54928,1.5421,0.65125,0.87923,0.0001189,0.0001189,0.0001189
180,2765.6,1.14958,0.55384,0.86182,0.97284,0.94779,0.97577,0.55108,1.55403,0.64915,0.8814,0.00011395,0.00011395,0.00011395
